population,indicator_name,year,group,total_value,flag_for_publishing,total_low_ci,total_high_ci,male_value,male_flag_for_publishing,male_low_ci,male_high_ci,female_value,female_flag_for_publishing,female_low_ci,female_high_ci,estimated_number,estimated_number_low_ci,estimated_number_high_ci
adults,Unmet need for GP due to cost,2011,Total,13.6,,12.6,14.5,9.6,,8.6,10.7,17.3,,15.9,18.6,474000.0,441000.0,506000.0
adults,Unmet need for GP due to cost,2012,Total,14.6,,13.8,15.4,10.9,,9.9,12.1,18.0,,16.9,19.1,513000.0,485000.0,542000.0
adults,Unmet need for GP due to cost,2013,Total,14.1,,13.3,15.0,11.0,,9.9,12.3,17.0,,15.7,18.3,505000.0,474000.0,535000.0
adults,Unmet need for GP due to cost,2014,Total,13.8,,13.0,14.6,10.3,,9.4,11.3,17.1,,16.0,18.2,505000.0,477000.0,533000.0
adults,Unmet need for GP due to cost,2015,Total,14.3,,13.5,15.1,10.4,,9.4,11.5,18.0,,16.8,19.2,537000.0,508000.0,567000.0
adults,Unmet need for GP due to cost,2016,Total,14.4,,13.6,15.2,10.9,,9.9,12.0,17.7,,16.5,18.9,553000.0,522000.0,585000.0
adults,Unmet need for GP due to cost,2017,Total,14.9,,14.1,15.7,11.5,,10.5,12.6,18.1,,17.0,19.3,584000.0,553000.0,615000.0
adults,Unmet need for GP due to cost,2018,Total,13.6,,12.8,14.4,9.8,,8.9,10.7,17.3,,16.3,18.4,543000.0,513000.0,574000.0
adults,Unmet need for GP due to cost,2019,Total,13.4,,12.5,14.3,10.8,,9.6,12.1,16.0,,14.8,17.2,540000.0,504000.0,576000.0
adults,Unmet need for GP due to cost,2020,Total,10.2,,9.4,11.1,7.6,,6.6,8.7,12.8,,11.6,14.1,421000.0,386000.0,456000.0
adults,Unmet need for GP due to cost,2021,Total,11.1,,10.2,12.1,7.5,,6.2,9.1,14.6,,13.1,16.2,458000.0,420000.0,496000.0
adults,Unmet need for GP due to cost,2022,Total,12.8,,11.7,14.0,10.5,,9.0,12.1,15.0,,13.5,16.5,537000.0,491000.0,582000.0
adults,Unmet need for GP due to cost,2023,Total,15.1,,14.1,16.2,11.6,,10.2,13.0,18.5,,17.1,20.0,650000.0,606000.0,695000.0
adults,Unmet need for GP due to cost,2024,Total,14.9,,13.9,15.9,11.9,,10.5,13.4,17.7,,16.3,19.0,646000.0,601000.0,690000.0
adults,Unmet need for GP due to cost,2011,15-24,13.4,,11.4,15.7,8.7,,6.6,11.1,18.3,,14.8,22.2,84000.0,71000.0,97000.0
adults,Unmet need for GP due to cost,2011,25-34,22.2,,19.8,24.7,15.7,,12.4,19.5,28.2,,24.5,32.2,121000.0,108000.0,133000.0
adults,Unmet need for GP due to cost,2011,35-44,18.4,,16.5,20.3,12.6,,10.3,15.2,23.6,,20.7,26.7,111000.0,100000.0,122000.0
adults,Unmet need for GP due to cost,2011,45-54,13.1,,11.4,14.9,10.2,,7.8,13.1,15.8,,13.4,18.4,81000.0,71000.0,92000.0
adults,Unmet need for GP due to cost,2011,55-64,8.8,,7.2,10.5,5.4,,3.7,7.5,12.0,,9.4,15.0,44000.0,36000.0,52000.0
adults,Unmet need for GP due to cost,2011,65-74,6.4,,4.8,8.3,4.8,,2.7,7.7,7.9,,5.6,10.7,21000.0,16000.0,27000.0
adults,Unmet need for GP due to cost,2011,75+,4.4,,3.1,6.0,5.0,,2.8,8.1,4.0,,2.3,6.3,11000.0,8000.0,15000.0
adults,Unmet need for GP due to cost,2012,15-24,16.4,,14.2,18.8,10.9,,8.2,14.2,22.1,,18.9,25.5,103000.0,89000.0,116000.0
adults,Unmet need for GP due to cost,2012,25-34,22.8,,20.7,24.9,18.3,,14.9,22.1,27.0,,23.9,30.2,124000.0,113000.0,136000.0
adults,Unmet need for GP due to cost,2012,35-44,17.6,,15.8,19.5,12.3,,9.9,15.1,22.4,,19.8,25.1,105000.0,94000.0,116000.0
adults,Unmet need for GP due to cost,2012,45-54,13.6,,11.9,15.4,9.8,,7.3,12.7,17.2,,15.0,19.6,85000.0,74000.0,95000.0
adults,Unmet need for GP due to cost,2012,55-64,12.2,,10.4,14.3,9.7,,7.4,12.5,14.6,,12.0,17.5,62000.0,53000.0,72000.0
adults,Unmet need for GP due to cost,2012,65-74,6.1,,4.6,7.9,6.3,,4.3,8.9,5.9,,4.2,8.1,22000.0,16000.0,27000.0
adults,Unmet need for GP due to cost,2012,75+,4.6,,3.3,6.1,3.2,,1.7,5.3,5.7,,3.7,8.1,12000.0,9000.0,16000.0
adults,Unmet need for GP due to cost,2013,15-24,14.3,,12.3,16.5,10.5,,7.8,13.7,18.3,,15.2,21.7,91000.0,78000.0,104000.0
adults,Unmet need for GP due to cost,2013,25-34,21.5,,19.4,23.7,18.4,,15.3,21.8,24.4,,21.4,27.7,121000.0,109000.0,133000.0
adults,Unmet need for GP due to cost,2013,35-44,18.6,,16.5,20.9,13.1,,10.3,16.3,23.7,,20.4,27.1,110000.0,97000.0,123000.0
adults,Unmet need for GP due to cost,2013,45-54,14.9,,13.2,16.8,11.9,,9.6,14.6,17.7,,15.0,20.7,94000.0,83000.0,105000.0
adults,Unmet need for GP due to cost,2013,55-64,9.0,,7.5,10.6,6.4,,5.0,8.1,11.4,,9.0,14.3,47000.0,39000.0,54000.0
adults,Unmet need for GP due to cost,2013,65-74,8.0,,6.4,9.8,7.3,,4.7,10.8,8.7,,6.6,11.1,30000.0,23000.0,36000.0
adults,Unmet need for GP due to cost,2013,75+,4.7,,3.3,6.6,3.9,,2.1,6.6,5.4,,3.6,7.7,13000.0,9000.0,17000.0
adults,Unmet need for GP due to cost,2014,15-24,12.4,,10.6,14.4,9.1,,6.8,11.8,15.9,,13.2,18.9,80000.0,68000.0,92000.0
adults,Unmet need for GP due to cost,2014,25-34,20.7,,18.1,23.5,15.9,,12.4,20.0,25.4,,21.9,29.1,123000.0,107000.0,138000.0
adults,Unmet need for GP due to cost,2014,35-44,18.5,,16.7,20.4,12.9,,10.7,15.4,23.6,,20.8,26.6,109000.0,99000.0,120000.0
adults,Unmet need for GP due to cost,2014,45-54,14.5,,12.8,16.4,11.6,,9.6,13.8,17.3,,14.6,20.3,93000.0,81000.0,104000.0
adults,Unmet need for GP due to cost,2014,55-64,11.1,,9.7,12.6,7.8,,6.0,9.9,14.2,,12.0,16.7,59000.0,52000.0,66000.0
adults,Unmet need for GP due to cost,2014,65-74,6.7,,5.3,8.4,5.6,,3.6,8.1,7.8,,5.8,10.3,26000.0,20000.0,32000.0
adults,Unmet need for GP due to cost,2014,75+,5.5,,3.7,7.8,3.4,e,1.5,6.6,7.1,,4.6,10.5,15000.0,10000.0,21000.0
adults,Unmet need for GP due to cost,2015,15-24,16.2,,14.2,18.3,11.7,,9.4,14.3,21.0,,18.0,24.2,107000.0,93000.0,120000.0
adults,Unmet need for GP due to cost,2015,25-34,21.4,,19.2,23.8,14.8,,12.1,17.9,27.8,,24.4,31.5,135000.0,121000.0,149000.0
adults,Unmet need for GP due to cost,2015,35-44,17.5,,15.6,19.5,11.7,,9.3,14.4,23.0,,20.2,25.9,104000.0,93000.0,115000.0
adults,Unmet need for GP due to cost,2015,45-54,13.9,,12.1,16.0,9.8,,7.7,12.2,17.9,,15.0,21.0,90000.0,78000.0,102000.0
adults,Unmet need for GP due to cost,2015,55-64,10.9,,9.2,12.9,9.0,,7.0,11.4,12.8,,10.2,15.8,60000.0,50000.0,70000.0
adults,Unmet need for GP due to cost,2015,65-74,7.0,,5.8,8.3,5.7,,3.9,7.9,8.2,,6.4,10.2,28000.0,23000.0,32000.0
adults,Unmet need for GP due to cost,2015,75+,5.2,,3.7,7.2,5.1,,2.7,8.5,5.4,,3.7,7.5,15000.0,10000.0,20000.0
adults,Unmet need for GP due to cost,2016,15-24,13.9,,12.1,15.9,8.8,,6.8,11.2,19.4,,16.8,22.3,92000.0,80000.0,104000.0
adults,Unmet need for GP due to cost,2016,25-34,22.2,,19.9,24.5,17.1,,13.9,20.8,27.1,,24.4,30.0,148000.0,133000.0,163000.0
adults,Unmet need for GP due to cost,2016,35-44,18.7,,16.6,21.0,14.9,,12.2,17.9,22.2,,19.3,25.4,112000.0,99000.0,125000.0
adults,Unmet need for GP due to cost,2016,45-54,13.7,,12.0,15.5,10.0,,8.1,12.3,17.1,,14.5,19.9,89000.0,78000.0,100000.0
adults,Unmet need for GP due to cost,2016,55-64,11.6,,10.0,13.2,8.8,,6.9,11.1,14.1,,11.9,16.6,65000.0,57000.0,74000.0
adults,Unmet need for GP due to cost,2016,65-74,7.9,,6.5,9.5,6.8,,4.8,9.2,9.0,,7.2,11.1,32000.0,26000.0,38000.0
adults,Unmet need for GP due to cost,2016,75+,5.1,,3.9,6.4,4.7,,2.9,7.1,5.4,,3.8,7.4,15000.0,12000.0,19000.0
adults,Unmet need for GP due to cost,2017,15-24,15.6,,13.7,17.7,11.0,,8.7,13.6,20.6,,17.7,23.8,103000.0,90000.0,115000.0
adults,Unmet need for GP due to cost,2017,25-34,22.5,,20.4,24.8,16.3,,13.6,19.4,28.7,,25.6,32.0,158000.0,142000.0,173000.0
adults,Unmet need for GP due to cost,2017,35-44,18.0,,16.4,19.7,14.3,,11.7,17.3,21.6,,19.1,24.2,110000.0,100000.0,119000.0
adults,Unmet need for GP due to cost,2017,45-54,13.9,,12.0,16.0,12.0,,9.8,14.5,15.7,,13.1,18.6,91000.0,78000.0,103000.0
adults,Unmet need for GP due to cost,2017,55-64,13.4,,11.5,15.4,10.0,,7.6,12.9,16.6,,13.5,20.0,78000.0,67000.0,89000.0
adults,Unmet need for GP due to cost,2017,65-74,6.7,,5.4,8.2,5.5,,3.7,7.7,7.9,,6.2,9.8,28000.0,23000.0,34000.0
adults,Unmet need for GP due to cost,2017,75+,5.5,,4.0,7.4,5.0,,2.8,8.1,5.9,,3.9,8.6,17000.0,12000.0,22000.0
adults,Unmet need for GP due to cost,2018,15-24,16.1,,14.1,18.3,10.6,,8.3,13.3,21.9,,18.3,25.9,105000.0,92000.0,119000.0
adults,Unmet need for GP due to cost,2018,25-34,20.1,,18.1,22.3,13.3,,10.4,16.6,27.1,,23.9,30.5,145000.0,130000.0,160000.0
adults,Unmet need for GP due to cost,2018,35-44,15.4,,13.6,17.4,10.8,,8.4,13.6,20.0,,17.4,22.8,96000.0,84000.0,107000.0
adults,Unmet need for GP due to cost,2018,45-54,13.6,,11.8,15.6,11.5,,9.0,14.4,15.6,,13.2,18.2,89000.0,77000.0,101000.0
adults,Unmet need for GP due to cost,2018,55-64,10.7,,9.0,12.5,7.6,,5.6,10.1,13.6,,11.2,16.3,64000.0,54000.0,74000.0
adults,Unmet need for GP due to cost,2018,65-74,7.0,,5.6,8.6,5.8,,3.9,8.1,8.2,,6.2,10.5,30000.0,24000.0,37000.0
adults,Unmet need for GP due to cost,2018,75+,4.5,,3.4,5.8,3.0,,1.6,5.0,5.7,,4.1,7.5,14000.0,10000.0,18000.0
adults,Unmet need for GP due to cost,2019,15-24,15.3,,12.4,18.6,12.5,,9.0,16.8,18.3,,14.3,22.8,99000.0,80000.0,118000.0
adults,Unmet need for GP due to cost,2019,25-34,19.0,,16.9,21.3,14.7,,12.0,17.7,23.4,,20.3,26.8,140000.0,124000.0,156000.0
adults,Unmet need for GP due to cost,2019,35-44,16.0,,13.7,18.6,12.6,,9.6,16.1,19.4,,16.5,22.5,101000.0,86000.0,116000.0
adults,Unmet need for GP due to cost,2019,45-54,14.9,,12.5,17.5,11.4,,8.3,15.0,18.2,,14.9,21.9,96000.0,80000.0,112000.0
adults,Unmet need for GP due to cost,2019,55-64,10.7,,8.8,13.0,9.3,,6.5,12.8,12.1,,9.5,15.1,64000.0,52000.0,77000.0
