indicator_id,indicator_name,indicator_short_name,theme,barrier_type,population,group,year,percent_value,trend_flag_for_publishing,percent_raw
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total,2011,4.7,,4.7 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Boys,2011,5.0,,5.0 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Girls,2011,4.4,,4.4 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,0-4,2011,2.1,,2.1 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,'5-9,2011,6.8,,6.8 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,'10-14,2011,5.3,,5.3 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total Māori,2011,7.6,,7.6 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total Pacific,2011,6.1,,6.1 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total Asian,2011,2.4,e,2.4 e
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total European/Other,2011,4.1,,4.1 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total Northern,2011,3.9,,3.9 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total Midland,2011,4.3,,4.3 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total Central,2011,7.3,,7.3 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total South Island,2011,4.1,e,4.1 e
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Māori boys,2011,7.7,,7.7 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Māori girls,2011,7.6,,7.6 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Pacific boys,2011,6.3,,6.3 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Pacific girls,2011,6.0,,6.0 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Asian boys,2011,,S,S
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Asian girls,2011,2.9,e,2.9 e
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,European/Other boys,2011,4.7,,4.7 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,European/Other girls,2011,3.4,,3.4 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Northern boys,2011,4.8,,4.8 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Midland boys,2011,4.0,,4.0 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Central boys,2011,6.8,,6.8 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,South Island boys,2011,4.8,e,4.8 e
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Northern girls,2011,2.9,e,2.9 e
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Midland girls,2011,4.6,,4.6 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Central girls,2011,7.8,,7.8 
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,South Island girls,2011,3.4,e,3.4 e
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total Non-disabled,2011,,,
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Total Disabled,2011,,,
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Non-disabled boys,2011,,,
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Disabled boys,2011,,,
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Non-disabled girls,2011,,,
2,Unmet need for GP due to cost,GP cost barrier,Health Access,Cost,children,Disabled girls,2011,,,
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total,2011,6.7,,6.7 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Boys,2011,6.3,,6.3 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Girls,2011,7.1,,7.1 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,0-4,2011,7.2,,7.2 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,'5-9,2011,7.5,,7.5 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,'10-14,2011,5.4,,5.4 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total Māori,2011,12.4,,12.4 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total Pacific,2011,11.3,,11.3 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total Asian,2011,3.2,,3.2 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total European/Other,2011,4.7,,4.7 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total Northern,2011,6.3,,6.3 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total Midland,2011,10.6,,10.6 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total Central,2011,6.7,,6.7 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total South Island,2011,3.2,,3.2 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Māori boys,2011,11.6,,11.6 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Māori girls,2011,13.2,,13.2 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Pacific boys,2011,10.3,,10.3 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Pacific girls,2011,12.2,,12.2 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Asian boys,2011,2.8,e,2.8 e
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Asian girls,2011,3.6,e,3.6 e
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,European/Other boys,2011,4.2,,4.2 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,European/Other girls,2011,5.2,,5.2 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Northern boys,2011,5.5,,5.5 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Midland boys,2011,10.5,,10.5 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Central boys,2011,7.6,,7.6 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,South Island boys,2011,2.6,e,2.6 e
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Northern girls,2011,7.3,,7.3 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Midland girls,2011,10.7,,10.7 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Central girls,2011,6.0,,6.0 
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,South Island girls,2011,3.9,e,3.9 e
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total Non-disabled,2011,,,
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Total Disabled,2011,,,
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Non-disabled boys,2011,,,
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Disabled boys,2011,,,
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Non-disabled girls,2011,,,
1,Unfilled prescription due to cost,Prescription cost barrier,Health Access,Cost,children,Disabled girls,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,Total,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,Boys,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,Girls,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,'1-4,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,'5-9,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,'10-14,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,Total Māori,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,Total Pacific,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,Total Asian,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,Total European/Other,2011,,,
6,Unmet need for dental health care due to cost,Dental cost barrier,Health Access,Cost,children,Total Northern,2011,,,
